"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Women	50+	Kidney	1	19	4	15	38.829133	2.588609	Uncorrelated	1	2014	2011	2016	-16.603478	17.553745	-0.945865	0.360257	0.012237	0.008703	1.406164	0.181482	-0.042864	0.009060	-4.731361	0.000322	0.000006	0.000000	0.000076	1.000000	0.000000	1.000000
Women	50+	Liver	1	19	4	15	52.577383	3.505159	Uncorrelated	0	NA	NA	NA	-119.338689	9.669710	-12.341496	0.000000	0.062935	0.004817	13.063916	0.000000	NA	NA	NA	NA	93.503300	0.000000	461.289379	1.000000	0.000000	1.000000
Women	50+	Liver	1	19	4	15	52.577383	3.505159	Uncorrelated	1	2013	2005	2017	-51.388477	21.477648	-2.392649	0.031306	0.029179	0.010651	2.739710	0.015964	-0.033756	0.011689	-2.887726	0.011928	0.000023	0.000000	0.000113	1.000000	0.000000	1.000000
Women	50+	MultipleMyeloma	2	19	6	13	52.096469	4.007421	Uncorrelated	0	NA	NA	NA	-44.913320	6.684562	-6.718962	0.000033	0.026091	0.003333	7.828708	0.000008	NA	NA	NA	NA	44.683373	0.000000	0.001385	1.000000	0.000000	1.000000
Women	50+	MultipleMyeloma	2	19	6	13	52.096469	4.007421	Uncorrelated	1	2011	2005	2012	-173.582484	74.885644	-2.317967	0.040723	0.090074	0.037209	2.420738	0.033962	0.063983	0.037358	1.712684	0.114778	0.000011	0.000000	240.282092	1.000000	0.000000	1.000000
Women	50+	MultipleMyeloma	2	19	6	13	52.096469	4.007421	Uncorrelated	2	2014	2013	2017	-16.079572	15.501035	-1.037322	0.321851	0.011870	0.007685	1.544524	0.150728	-0.078204	0.037994	-2.058299	0.064053	5607.859690	0.000000	0.000059	1.000000	0.000000	1.000000
Women	50+	Oral	2	19	6	13	12.516301	0.962792	Uncorrelated	0	NA	NA	NA	-63.701959	12.211368	-5.216611	0.000287	0.035391	0.006095	5.806808	0.000118	NA	NA	NA	NA	149.117499	0.000000	0.001044	1.000000	0.000000	1.000000
Women	50+	Oral	2	19	6	13	12.516301	0.962792	Uncorrelated	1	2007	2003	2013	-121.563891	64.905111	-1.872948	0.087876	0.064221	0.032315	1.987330	0.072357	0.028830	0.032885	0.876698	0.399392	0.000037	0.000000	27.589760	1.000000	0.000000	1.000000
Women	50+	Oral	2	19	6	13	12.516301	0.962792	Uncorrelated	2	2010	2009	2017	-55.854549	5.252596	-10.633705	0.000000	0.031530	0.002606	12.096686	0.000000	-0.032691	0.032420	-1.008363	0.334947	4212.673448	0.000000	0.000007	1.000000	0.000000	1.000000
Women	50+	Pancreas	1	19	4	15	11.970636	0.798042	Uncorrelated	0	NA	NA	NA	-40.226704	2.350215	-17.116181	0.000000	0.024092	0.001171	20.577415	0.000000	NA	NA	NA	NA	5.523510	0.000000	81.451613	1.000000	0.000000	1.000000
Women	50+	Pancreas	1	19	4	15	11.970636	0.798042	Uncorrelated	1	2014	2003	2017	-23.001552	9.025055	-2.548633	0.023179	0.015540	0.004474	3.472965	0.003730	-0.008553	0.004625	-1.849205	0.085653	0.000001	0.000000	0.000020	1.000000	0.000000	1.000000
Women	50+	Thyroid	2	19	6	13	12.214536	0.939580	Uncorrelated	0	NA	NA	NA	-106.998840	9.302055	-11.502710	0.000000	0.056537	0.004638	12.188594	0.000000	NA	NA	NA	NA	86.528220	0.000000	0.001735	1.000000	0.000000	1.000000
Women	50+	Thyroid	2	19	6	13	12.214536	0.939580	Uncorrelated	1	2010	2003	2011	-191.010793	83.787514	-2.279705	0.043559	0.098334	0.041653	2.360761	0.037763	0.041797	0.041911	0.997284	0.340059	0.000022	0.000000	148.849916	1.000000	0.000000	1.000000
Women	50+	Thyroid	2	19	6	13	12.214536	0.939580	Uncorrelated	2	2013	2012	2016	-67.547632	12.200406	-5.536507	0.000176	0.037001	0.006050	6.115847	0.000076	-0.061333	0.042090	-1.457170	0.173017	7020.347533	0.000000	0.000037	1.000000	0.000000	1.000000
