"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Women	3	Healthy Weight	"bmi"	3	2	19	6	13	       0.0020422	      -8.2083570	      -7.8984161	       0.7887117	      -7.9639030
All	Women	3	Healthy Weight	"bmi"	4	3	19	8	11	       0.0017359	      -8.0609014	      -7.5959900	       0.7811395	      -7.6977408
All	Women	4	Healthy Weight	"bmi"	1	0	19	2	17	       0.0409441	      -5.8300457	      -5.8300457	       0.0000000	      -5.8300457
All	Women	4	Healthy Weight	"bmi"	2	1	19	4	15	       0.0300941	      -5.8279834	      -5.6730129	       0.2649955	      -5.7869169
All	Women	4	Healthy Weight	"bmi"	3	2	19	6	13	       0.0189745	      -5.9792760	      -5.6693351	       0.5234166	      -5.8170478
All	Women	4	Healthy Weight	"bmi"	4	3	19	8	11	       0.0079385	      -6.5407058	      -6.0757944	       0.9497332	      -6.0991640
All	Women	5	Healthy Weight	"bmi"	1	0	19	2	17	       0.0171687	      -6.6991631	      -6.6991631	       0.0000000	      -6.6991631
All	Women	5	Healthy Weight	"bmi"	2	1	19	4	15	       0.0096624	      -6.9640715	      -6.8091010	       0.4372103	      -6.8963168
All	Women	5	Healthy Weight	"bmi"	3	2	19	6	13	       0.0043804	      -7.4452207	      -7.1352798	       0.8200058	      -7.1910674
All	Women	5	Healthy Weight	"bmi"	4	3	19	8	11	       0.0038397	      -7.2670359	      -6.8021245	       0.6639740	      -6.9583468
All	Men	1	Obese	"bmi"	1	0	19	2	17	       0.0241484	      -6.3580371	      -6.3580371	       0.0000000	      -6.3580371
All	Men	1	Obese	"bmi"	2	1	19	4	15	       0.0095162	      -6.9793182	      -6.8243477	       0.6059282	      -6.8854172
All	Men	1	Obese	"bmi"	3	2	19	6	13	       0.0076831	      -6.8833496	      -6.5734087	       0.6518460	      -6.6813158
All	Men	1	Obese	"bmi"	4	3	19	8	11	       0.0058525	      -6.8455681	      -6.3806567	       0.7912613	      -6.4777017
All	Men	2	Obese	"bmi"	1	0	19	2	17	       0.0268214	      -6.2530519	      -6.2530519	       0.0000000	      -6.2530519
All	Men	2	Obese	"bmi"	2	1	19	4	15	       0.0250356	      -6.0120130	      -5.8570425	       0.0665819	      -6.0016948
All	Men	2	Obese	"bmi"	3	2	19	6	13	       0.0139807	      -6.2846943	      -5.9747534	       0.7612933	      -6.0487384
All	Men	2	Obese	"bmi"	4	3	19	8	11	       0.0029104	      -7.5441259	      -7.0792145	       0.9412050	      -7.1065489
All	Men	3	Obese	"bmi"	1	0	19	2	17	       0.0297798	      -6.1484218	      -6.1484218	       0.0000000	      -6.1484218
All	Men	3	Obese	"bmi"	2	1	19	4	15	       0.0115324	      -6.7871550	      -6.6321845	       0.6127459	      -6.6921975
All	Men	3	Obese	"bmi"	3	2	19	6	13	       0.0087836	      -6.7494844	      -6.4395435	       0.5866959	      -6.5676434
All	Men	3	Obese	"bmi"	4	3	19	8	11	       0.0044988	      -7.1086241	      -6.6437127	       0.9933828	      -6.6467891
All	Men	4	Obese	"bmi"	1	0	19	2	17	       0.0286645	      -6.1865930	      -6.1865930	       0.0000000	      -6.1865930
All	Men	4	Obese	"bmi"	2	1	19	4	15	       0.0189600	      -6.2899817	      -6.1350112	       0.3385558	      -6.2375155
All	Men	4	Obese	"bmi"	3	2	19	6	13	       0.0105552	      -6.5657569	      -6.2558159	       0.7561900	      -6.3313826
All	Men	4	Obese	"bmi"	4	3	19	8	11	       0.0073873	      -6.6126646	      -6.1477532	       0.8484370	      -6.2182165
All	Men	5	Obese	"bmi"	1	0	19	2	17	       0.0183488	      -6.6326903	      -6.6326903	       0.0000000	      -6.6326903
All	Men	5	Obese	"bmi"	2	1	19	4	15	       0.0100885	      -6.9209201	      -6.7659496	       0.4501835	      -6.8511549
All	Men	5	Obese	"bmi"	3	2	19	6	13	       0.0081308	      -6.8267157	      -6.5167747	       0.4850662	      -6.6763738
All	Men	5	Obese	"bmi"	4	3	19	8	11	       0.0070542	      -6.6588067	      -6.1938953	       0.6032883	      -6.3783311
All	Women	1	Obese	"bmi"	1	0	19	2	17	       0.0382501	      -5.8981075	      -5.8981075	       0.0000000	      -5.8981075
All	Women	1	Obese	"bmi"	2	1	19	4	15	       0.0277586	      -5.9087674	      -5.7537969	       0.2742871	      -5.8662610
All	Women	1	Obese	"bmi"	3	2	19	6	13	       0.0077207	      -6.8784624	      -6.5685215	       0.9010677	      -6.5991846
All	Women	1	Obese	"bmi"	4	3	19	8	11	       0.0042736	      -7.1599798	      -6.6950684	       0.9010677	      -6.7410632
All	Women	2	Obese	"bmi"	1	0	19	2	17	       0.0322183	      -6.0697188	      -6.0697188	       0.0000000	      -6.0697188
All	Women	2	Obese	"bmi"	2	1	19	4	15	       0.0115461	      -6.7859685	      -6.6309980	       0.6416305	      -6.6865347
All	Women	2	Obese	"bmi"	3	2	19	6	13	       0.0098970	      -6.6301372	      -6.3201963	       0.6322641	      -6.4341727
All	Women	2	Obese	"bmi"	4	3	19	8	11	       0.0087717	      -6.4408961	      -5.9759847	       0.8698624	      -6.0364871
All	Women	3	Obese	"bmi"	1	0	19	2	17	       0.0167743	      -6.7224034	      -6.7224034	       0.0000000	      -6.7224034
All	Women	3	Obese	"bmi"	2	1	19	4	15	       0.0127684	      -6.6853422	      -6.5303717	       0.2388157	      -6.6483328
All	Women	3	Obese	"bmi"	3	2	19	6	13	       0.0087686	      -6.7511983	      -6.4412573	       0.4170654	      -6.6219326
