"age_group"	"sex"	"level"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
50+	Men	Overweight	5	4	23	10	13	       0.0070182	      -6.7314880	      -6.1861847	       0.4825568	      -6.4683482
20-49	Women	Overweight	1	0	23	2	21	       0.0151660	      -7.0515394	      -7.0515394	       0.0000000	      -7.0515394
20-49	Women	Overweight	2	1	23	4	19	       0.0138718	      -6.8680912	      -6.7317654	       0.0853406	      -6.8564571
20-49	Women	Overweight	3	2	23	6	17	       0.0113536	      -6.7957604	      -6.5231087	       0.9713766	      -6.5309129
20-49	Women	Overweight	4	3	23	8	15	       0.0097565	      -6.6747127	      -6.2657351	       0.9713766	      -6.2774415
20-49	Women	Overweight	5	4	23	10	13	       0.0082966	      -6.5641408	      -6.0188375	       0.9713766	      -6.0344459
50+	Women	Overweight	1	0	23	2	21	       0.0152541	      -7.0457476	      -7.0457476	       0.0000000	      -7.0457476
50+	Women	Overweight	2	1	23	4	19	       0.0110058	      -7.0995236	      -6.9631978	       0.2785035	      -7.0615564
50+	Women	Overweight	3	2	23	6	17	       0.0098987	      -6.9328902	      -6.6602386	       0.2143113	      -6.8744579
50+	Women	Overweight	4	3	23	8	15	       0.0083270	      -6.8331431	      -6.4241656	       0.6760395	      -6.5566581
50+	Women	Overweight	5	4	23	10	13	       0.0078031	      -6.6254764	      -6.0801730	       0.6760395	      -6.2568297
20-49	Men	Previously	1	0	25	2	23	       0.1104286	      -5.1647518	      -5.1647518	       0.0000000	      -5.1647518
20-49	Men	Previously	2	1	25	4	21	       0.0550329	      -5.6036805	      -5.4749255	       0.5016431	      -5.5390914
20-49	Men	Previously	3	2	25	6	19	       0.0357406	      -5.7778130	      -5.5203029	       0.6741379	      -5.6042157
20-49	Men	Previously	4	3	25	8	17	       0.0324087	      -5.6181650	      -5.2318999	       0.5237920	      -5.4158425
20-49	Men	Previously	5	4	25	10	15	       0.0302916	      -5.4282088	      -4.9131887	       0.5585313	      -5.1405540
50+	Men	Previously	1	0	25	2	23	       0.0215032	      -6.8009174	      -6.8009174	       0.0000000	      -6.8009174
50+	Men	Previously	2	1	25	4	21	       0.0183074	      -6.7043046	      -6.5755495	       0.1486204	      -6.6851689
50+	Men	Previously	3	2	25	6	19	       0.0135298	      -6.7492089	      -6.4916988	       0.4782787	      -6.6260473
50+	Men	Previously	4	3	25	8	17	       0.0132741	      -6.5107766	      -6.1245115	       0.6144843	      -6.2734227
50+	Men	Previously	5	4	25	10	15	       0.0125473	      -6.3095742	      -5.7945540	       0.6379198	      -5.9810326
20-49	Women	Previously	1	0	25	2	23	       0.0987695	      -5.2763317	      -5.2763317	       0.0000000	      -5.2763317
20-49	Women	Previously	2	1	25	4	21	       0.0697727	      -5.3663687	      -5.2376137	       0.2935812	      -5.3285686
20-49	Women	Previously	3	2	25	6	19	       0.0394504	      -5.6790556	      -5.4215456	       0.6093522	      -5.5221413
20-49	Women	Previously	4	3	25	8	17	       0.0380132	      -5.4586584	      -5.0723933	       0.6451809	      -5.2094475
20-49	Women	Previously	5	4	25	10	15	       0.0303673	      -5.4257144	      -4.9106943	       0.9627630	      -4.9298721
50+	Women	Previously	1	0	25	2	23	       0.0425417	      -6.1186363	      -6.1186363	       0.0000000	      -6.1186363
50+	Women	Previously	2	1	25	4	21	       0.0386172	      -5.9579140	      -5.8291590	       0.0922513	      -5.9460362
50+	Women	Previously	3	2	25	6	19	       0.0366722	      -5.7520828	      -5.4945728	       0.0997711	      -5.7263908
50+	Women	Previously	4	3	25	8	17	       0.0348717	      -5.5449147	      -5.1586496	       0.5265325	      -5.3415336
50+	Women	Previously	5	4	25	10	15	       0.0330729	      -5.3403659	      -4.8253458	       0.4625717	      -5.1021322
20-49	Men	Underweight	1	0	23	2	21	       1.9711406	      -2.1842302	      -2.1842302	       0.0000000	      -2.1842302
20-49	Men	Underweight	2	1	23	4	19	       1.7096402	      -2.0539079	      -1.9175821	       0.1326645	      -2.0358223
20-49	Men	Underweight	3	2	23	6	17	       1.5720118	      -1.8651830	      -1.5925314	       0.3319123	      -1.7746866
20-49	Men	Underweight	4	3	23	8	15	       1.2554906	      -1.8173611	      -1.4083836	       0.8181877	      -1.4827408
20-49	Men	Underweight	5	4	23	10	13	       1.1830767	      -1.6041175	      -1.0588141	       0.8181877	      -1.1579570
50+	Men	Underweight	1	0	23	2	21	       2.9162952	      -1.7925285	      -1.7925285	       0.0000000	      -1.7925285
50+	Men	Underweight	2	1	23	4	19	       2.3100053	      -1.7529411	      -1.6166152	       0.2078973	      -1.7245993
50+	Men	Underweight	3	2	23	6	17	       2.1089606	      -1.5713440	      -1.2986923	       0.3328963	      -1.4805792
50+	Men	Underweight	4	3	23	8	15	       2.0367121	      -1.3335507	      -0.9245732	       0.3328963	      -1.1974036
50+	Men	Underweight	5	4	23	10	13	       2.0053776	      -1.0764035	      -0.5311001	       0.5279614	      -0.7885043
20-49	Women	Underweight	1	0	23	2	21	       0.5170051	      -3.5225451	      -3.5225451	       0.0000000	      -3.5225451
20-49	Women	Underweight	2	1	23	4	19	       0.4905346	      -3.3024503	      -3.1661245	       0.0511996	      -3.2954705
20-49	Women	Underweight	3	2	23	6	17	       0.4110369	      -3.2066114	      -2.9339597	       0.6923742	      -3.0178344
20-49	Women	Underweight	4	3	23	8	15	       0.3670506	      -3.0471431	      -2.6381656	       0.6923742	      -2.7639777
20-49	Women	Underweight	5	4	23	10	13	       0.3252748	      -2.8953207	      -2.3500173	       0.6923742	      -2.5177667
50+	Women	Underweight	1	0	23	2	21	       1.4858744	      -2.4668391	      -2.4668391	       0.0000000	      -2.4668391
50+	Women	Underweight	2	1	23	4	19	       1.2649649	      -2.3551465	      -2.2188207	       0.1486731	      -2.3348785
50+	Women	Underweight	3	2	23	6	17	       1.0391269	      -2.2791584	      -2.0065067	       0.4328328	      -2.1611458
50+	Women	Underweight	4	3	23	8	15	       0.8950432	      -2.1557708	      -1.7467933	       0.4328328	      -1.9787519
50+	Women	Underweight	5	4	23	10	13	       0.8694169	      -1.9121684	      -1.3668650	       0.5536031	      -1.6102868
