"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50-64	Melanoma	3	2	19	6	13	       0.0124357	      -6.4018014	      -6.0918605	       0.3340541	      -6.2982644
Men	50-64	Melanoma	4	3	19	8	11	       0.0110441	      -6.2105296	      -5.7456182	       0.6386696	      -5.9136048
Men	50-64	MultipleMyeloma	1	0	19	2	17	       0.0621622	      -5.4125064	      -5.4125064	       0.0000000	      -5.4125064
Men	50-64	MultipleMyeloma	2	1	19	4	15	       0.0595800	      -5.1449923	      -4.9900218	       0.0415395	      -5.1385549
Men	50-64	MultipleMyeloma	3	2	19	6	13	       0.0474541	      -5.0626081	      -4.7526672	       0.3797298	      -4.9449143
Men	50-64	MultipleMyeloma	4	3	19	8	11	       0.0384167	      -4.9639372	      -4.4990258	       0.7136307	      -4.6321622
Men	50-64	Non-Hodgkin Lymphoma	1	0	19	2	17	       0.0640221	      -5.3830244	      -5.3830244	       0.0000000	      -5.3830244
Men	50-64	Non-Hodgkin Lymphoma	2	1	19	4	15	       0.0116909	      -6.7734994	      -6.6185290	       0.8173925	      -6.6468277
Men	50-64	Non-Hodgkin Lymphoma	3	2	19	6	13	       0.0091512	      -6.7084877	      -6.3985468	       0.8498443	      -6.4450862
Men	50-64	Non-Hodgkin Lymphoma	4	3	19	8	11	       0.0084911	      -6.4734124	      -6.0085010	       0.8504562	      -6.0780256
Men	50-64	Oesophagus	1	0	19	2	17	       0.0558464	      -5.5196483	      -5.5196483	       0.0000000	      -5.5196483
Men	50-64	Oesophagus	2	1	19	4	15	       0.0068117	      -7.3136648	      -7.1586943	       0.8780273	      -7.1775965
Men	50-64	Oesophagus	3	2	19	6	13	       0.0036611	      -7.6245944	      -7.3146535	       0.8924803	      -7.3479782
Men	50-64	Oesophagus	4	3	19	8	11	       0.0024370	      -7.7216641	      -7.2567527	       0.8924803	      -7.3067398
Men	50-64	Oral	1	0	19	2	17	       0.0363777	      -5.9482971	      -5.9482971	       0.0000000	      -5.9482971
Men	50-64	Oral	2	1	19	4	15	       0.0123792	      -6.7162942	      -6.5613237	       0.6597035	      -6.6140596
Men	50-64	Oral	3	2	19	6	13	       0.0118227	      -6.4523469	      -6.1424059	       0.7713327	      -6.2132793
Men	50-64	Oral	4	3	19	8	11	       0.0098497	      -6.3249877	      -5.8600763	       0.8176215	      -5.9448661
Men	50-64	Pancreas	1	0	19	2	17	       0.0286123	      -6.1884164	      -6.1884164	       0.0000000	      -6.1884164
Men	50-64	Pancreas	2	1	19	4	15	       0.0127596	      -6.6860259	      -6.5310554	       0.5540509	      -6.6001643
Men	50-64	Pancreas	3	2	19	6	13	       0.0115601	      -6.4748126	      -6.1648717	       0.4273883	      -6.3423475
Men	50-64	Pancreas	4	3	19	8	11	       0.0108439	      -6.2288255	      -5.7639141	       0.4876884	      -6.0020936
Men	50-64	Prostate	1	0	19	2	17	       0.0967732	      -4.9698833	      -4.9698833	       0.0000000	      -4.9698833
Men	50-64	Prostate	2	1	19	4	15	       0.0433756	      -5.4624160	      -5.3074455	       0.5517812	      -5.3769062
Men	50-64	Prostate	3	2	19	6	13	       0.0265963	      -5.6416002	      -5.3316592	       0.8397477	      -5.3813280
Men	50-64	Prostate	4	3	19	8	11	       0.0225287	      -5.4976391	      -5.0327277	       0.7686745	      -5.1402736
