"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50+	Thyroid	1	0	19	2	17	       0.0970149	      -4.9673883	      -4.9673883	       0.0000000	      -4.9673883
Men	50+	Thyroid	2	1	19	4	15	       0.0675226	      -5.0198499	      -4.8648794	       0.3039979	      -4.9727392
Men	50+	Thyroid	3	2	19	6	13	       0.0502047	      -5.0062620	      -4.6963211	       0.4048487	      -4.8807828
Men	50+	Thyroid	4	3	19	8	11	       0.0484864	      -4.7311480	      -4.2662366	       0.5091724	      -4.4944279
Women	20-49	Bladder	1	0	19	2	17	       0.2622780	      -3.9728484	      -3.9728484	       0.0000000	      -3.9728484
Women	20-49	Bladder	2	1	19	4	15	       0.2492567	      -3.7138290	      -3.5588586	       0.0496468	      -3.7061353
Women	20-49	Bladder	3	2	19	6	13	       0.1991433	      -3.6283467	      -3.3184057	       0.3551954	      -3.5182571
Women	20-49	Bladder	4	3	19	8	11	       0.1893672	      -3.3687425	      -2.9038311	       0.3551954	      -3.2036081
Women	20-49	Brain and CNS	1	0	19	2	17	       0.0612092	      -5.4279562	      -5.4279562	       0.0000000	      -5.4279562
Women	20-49	Brain and CNS	2	1	19	4	15	       0.0420544	      -5.4933476	      -5.3383771	       0.3129390	      -5.4448512
Women	20-49	Brain and CNS	3	2	19	6	13	       0.0205468	      -5.8996662	      -5.5897253	       0.8364420	      -5.6404186
Women	20-49	Brain and CNS	4	3	19	8	11	       0.0176513	      -5.7416231	      -5.2767116	       0.8364420	      -5.3527516
Women	20-49	Breast	1	0	19	2	17	       0.0150775	      -6.8290490	      -6.8290490	       0.0000000	      -6.8290490
Women	20-49	Breast	2	1	19	4	15	       0.0040019	      -7.8455380	      -7.6905676	       0.7345770	      -7.7317003
Women	20-49	Breast	3	2	19	6	13	       0.0036818	      -7.6189794	      -7.3090384	       0.6842834	      -7.4068919
Women	20-49	Breast	4	3	19	8	11	       0.0027369	      -7.6055868	      -7.1406754	       0.9527509	      -7.1626421
Women	20-49	Cervix	1	0	19	2	17	       0.0568037	      -5.5026523	      -5.5026523	       0.0000000	      -5.5026523
Women	20-49	Cervix	2	1	19	4	15	       0.0476586	      -5.3682489	      -5.2132784	       0.1609941	      -5.3432996
Women	20-49	Cervix	3	2	19	6	13	       0.0345434	      -5.3801553	      -5.0702143	       0.5542788	      -5.2083616
Women	20-49	Cervix	4	3	19	8	11	       0.0330440	      -5.1145902	      -4.6496787	       0.8760945	      -4.7072838
Women	20-49	Colorectum	1	0	19	2	17	       0.0345238	      -6.0006058	      -6.0006058	       0.0000000	      -6.0006058
Women	20-49	Colorectum	2	1	19	4	15	       0.0270537	      -5.9344868	      -5.7795164	       0.2163729	      -5.9009554
Women	20-49	Colorectum	3	2	19	6	13	       0.0182672	      -6.0172664	      -5.7073255	       0.4964436	      -5.8633982
Women	20-49	Colorectum	4	3	19	8	11	       0.0170173	      -5.7781996	      -5.3132881	       0.4630997	      -5.5628992
Women	20-49	Endometrium	1	0	19	2	17	       0.0817727	      -5.1383101	      -5.1383101	       0.0000000	      -5.1383101
Women	20-49	Endometrium	2	1	19	4	15	       0.0463216	      -5.3967039	      -5.2417334	       0.4335320	      -5.3295192
Women	20-49	Endometrium	3	2	19	6	13	       0.0421428	      -5.1813073	      -4.8713664	       0.5755845	      -5.0029101
Women	20-49	Endometrium	4	3	19	8	11	       0.0399080	      -4.9258532	      -4.4609418	       0.9181587	      -4.4989907
Women	20-49	Gallbladder	1	0	19	2	17	       0.4662019	      -3.3976344	      -3.3976344	       0.0000000	      -3.3976344
Women	20-49	Gallbladder	2	1	19	4	15	       0.4183761	      -3.1959316	      -3.0409611	       0.1025861	      -3.1800337
